original_name,public_name,public_path,pdf_id,public_id,page_count,strategy,pii_block_hits,recurring_header_footer_hits,flags,anchor_found,anchor_text
00033_Praxis_Educativa_2025.pdf,case_0001.pdf,anonymized_pdfs/case_0001.pdf,1,case_0001,1,first_page_block_redaction,1,0,single_page,yes,PRESENTACIÓN DEL TEMA
00057_RIA_Revista_Investigaciones_Ag_2022.pdf,case_0002.pdf,anonymized_pdfs/case_0002.pdf,2,case_0002,8,cover_swap_first_page,6,13,cover_swapped,,
00066_Revista_Argentina_de_Antropolo_2021.pdf,case_0003.pdf,anonymized_pdfs/case_0003.pdf,3,case_0003,15,cover_swap_first_page,56,13,cover_swapped,,
00068_Revista_Argentina_de_Antropolo_2020.pdf,case_0004.pdf,anonymized_pdfs/case_0004.pdf,4,case_0004,14,cover_swap_first_page,30,12,cover_swapped,,
00069_Revista_Argentina_de_Antropolo_2019.pdf,case_0005.pdf,anonymized_pdfs/case_0005.pdf,5,case_0005,11,cover_swap_first_page,11,10,cover_swapped;image_redaction_fallback,,
00092_Acta_Scientiarum_Animal_Scienc_2025.pdf,case_0006.pdf,anonymized_pdfs/case_0006.pdf,6,case_0006,9,cover_swap_first_page,15,8,cover_swapped,,
00093_Acta_Scientiarum_Animal_Scienc_2025.pdf,case_0007.pdf,anonymized_pdfs/case_0007.pdf,7,case_0007,5,cover_swap_first_page,16,4,cover_swapped,,
00097_Acta_Scientiarum_Animal_Scienc_2023.pdf,case_0008.pdf,anonymized_pdfs/case_0008.pdf,8,case_0008,11,cover_swap_first_page,46,10,cover_swapped,,
00101_Arquivo_Brasileiro_de_Medicina_2026.pdf,case_0009.pdf,anonymized_pdfs/case_0009.pdf,9,case_0009,4,cover_swap_first_page,1,2,cover_swapped,,
00102_Arquivo_Brasileiro_de_Medicina_2026.pdf,case_0010.pdf,anonymized_pdfs/case_0010.pdf,10,case_0010,13,cover_swap_first_page,2,12,cover_swapped,,
00109_Arquivo_Brasileiro_de_Medicina_2023.pdf,case_0011.pdf,anonymized_pdfs/case_0011.pdf,11,case_0011,10,cover_swap_first_page,3,9,cover_swapped,,
00110_Arquivo_Brasileiro_de_Medicina_2023.pdf,case_0012.pdf,anonymized_pdfs/case_0012.pdf,12,case_0012,7,cover_swap_first_page,11,6,cover_swapped,,
00131_Ciência_Animal_Brasileira_2025.pdf,case_0013.pdf,anonymized_pdfs/case_0013.pdf,13,case_0013,11,cover_swap_first_page,35,20,cover_swapped,,
00132_Ciência_Animal_Brasileira_2025.pdf,case_0014.pdf,anonymized_pdfs/case_0014.pdf,14,case_0014,16,cover_swap_first_page,41,30,cover_swapped,,
00137_Ciência_Animal_Brasileira_2023.pdf,case_0015.pdf,anonymized_pdfs/case_0015.pdf,15,case_0015,12,cover_swap_first_page,5,11,cover_swapped,,
